titulo,plataforma,genero,fecha,descripcion
The Legend of Zelda: Breath of the Wild,Switch,Aventura,2017,Exploración en mundo abierto
Super Mario Odyssey,Switch,Plataformas,2017,Aventura de plataformas en 3D
God of War,PS4,Accion,2018,Reinicio con narrativa fuerte
Celeste,PC,Plataformas,2018,Indie desafiante
Hollow Knight,PC,Metroidvania,2017,Accion-exploracion 2D
The Witcher 3: Wild Hunt,PC,RPG,2015,Accion RPG de mundo abierto
Persona 5,Royal,JRPG,2019,JRPG estilizado
Elden Ring,PC,Accion,2022,ARPG mundo abierto
Forza Horizon 5,Xbox,Carreras,2021,Mundo abierto de conducción
Stardew Valley,PC,Simulacion,2016,Granja y vida
